// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 6 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in D:\benchmarks\SerializerDictSupport\bin\Release\netcoreapp3.0\63adafb0-baa2-447d-a36d-1fee4f1cc4bd
// command took 1.62s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in D:\benchmarks\SerializerDictSupport\bin\Release\netcoreapp3.0\63adafb0-baa2-447d-a36d-1fee4f1cc4bd
// command took 11.96s and exited with 1
// start dotnet build -c Release  --no-restore --no-dependencies /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in D:\benchmarks\SerializerDictSupport\bin\Release\netcoreapp3.0\63adafb0-baa2-447d-a36d-1fee4f1cc4bd
// command took 2.22s and exited with 0
// start dotnet publish -c Release  --no-build --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in D:\benchmarks\SerializerDictSupport\bin\Release\netcoreapp3.0\63adafb0-baa2-447d-a36d-1fee4f1cc4bd
// command took 1.09s and exited with 0
// ***** Done, took 00:00:17 (17.25 sec)   *****
// Found 6 benchmarks:
//   DictionaryPerf.DeserializeDict: Job-MPWNJU(Runtime=Core, Toolchain=CoreRun)
//   DictionaryPerf.DeserializeIDict: Job-MPWNJU(Runtime=Core, Toolchain=CoreRun)
//   DictionaryPerf.DeserializeIReadOnlyDict: Job-MPWNJU(Runtime=Core, Toolchain=CoreRun)
//   DictionaryPerf.SerializeDict: Job-MPWNJU(Runtime=Core, Toolchain=CoreRun)
//   DictionaryPerf.SerializeIDict: Job-MPWNJU(Runtime=Core, Toolchain=CoreRun)
//   DictionaryPerf.SerializeIReadOnlyDict: Job-MPWNJU(Runtime=Core, Toolchain=CoreRun)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: DictionaryPerf.DeserializeDict: Job-MPWNJU(Runtime=Core, Toolchain=CoreRun)
// *** Execute ***
// Launch: 1 / 1
// Execute: D:\repos\corefx\artifacts\bin\runtime\9f02e737-4657-4516-a212-5d3e6b9c90d3\CoreRun.exe "63adafb0-baa2-447d-a36d-1fee4f1cc4bd.dll" --benchmarkName "SerializerDictSupport.DictionaryPerf.DeserializeDict" --job "Runtime=Core, Toolchain=CoreRun" --benchmarkId 0 in D:\benchmarks\SerializerDictSupport\bin\Release\netcoreapp3.0\63adafb0-baa2-447d-a36d-1fee4f1cc4bd\bin\Release\netcoreapp3.0\publish
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core ? (CoreCLR 3.0.19.27171, CoreFX 4.700.19.27801), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: Job-ARKSIY(Runtime=Core)

OverheadJitting  1: 1 op, 387600.00 ns, 387.6000 us/op
WorkloadJitting  1: 1 op, 23265100.00 ns, 23.2651 ms/op

OverheadJitting  2: 16 op, 700000.00 ns, 43.7500 us/op
WorkloadJitting  2: 16 op, 773700.00 ns, 48.3563 us/op

WorkloadPilot    1: 16 op, 43700.00 ns, 2.7313 us/op
WorkloadPilot    2: 32 op, 51700.00 ns, 1.6156 us/op
WorkloadPilot    3: 64 op, 130300.00 ns, 2.0359 us/op
WorkloadPilot    4: 128 op, 216000.00 ns, 1.6875 us/op
WorkloadPilot    5: 256 op, 411900.00 ns, 1.6090 us/op
WorkloadPilot    6: 512 op, 749700.00 ns, 1.4643 us/op
WorkloadPilot    7: 1024 op, 1543900.00 ns, 1.5077 us/op
WorkloadPilot    8: 2048 op, 3267100.00 ns, 1.5953 us/op
WorkloadPilot    9: 4096 op, 6550200.00 ns, 1.5992 us/op
WorkloadPilot   10: 8192 op, 12384600.00 ns, 1.5118 us/op
WorkloadPilot   11: 16384 op, 25126100.00 ns, 1.5336 us/op
WorkloadPilot   12: 32768 op, 47289700.00 ns, 1.4432 us/op
WorkloadPilot   13: 65536 op, 62868700.00 ns, 959.3002 ns/op
WorkloadPilot   14: 131072 op, 93089500.00 ns, 710.2165 ns/op
WorkloadPilot   15: 262144 op, 180746900.00 ns, 689.4947 ns/op
WorkloadPilot   16: 524288 op, 356683400.00 ns, 680.3196 ns/op
WorkloadPilot   17: 1048576 op, 709042500.00 ns, 676.1956 ns/op

OverheadWarmup   1: 1048576 op, 3727200.00 ns, 3.5545 ns/op
OverheadWarmup   2: 1048576 op, 3728300.00 ns, 3.5556 ns/op
OverheadWarmup   3: 1048576 op, 3758000.00 ns, 3.5839 ns/op
OverheadWarmup   4: 1048576 op, 3926400.00 ns, 3.7445 ns/op
OverheadWarmup   5: 1048576 op, 3738500.00 ns, 3.5653 ns/op
OverheadWarmup   6: 1048576 op, 3977000.00 ns, 3.7928 ns/op
OverheadWarmup   7: 1048576 op, 3749900.00 ns, 3.5762 ns/op

OverheadActual   1: 1048576 op, 3707200.00 ns, 3.5355 ns/op
OverheadActual   2: 1048576 op, 3694400.00 ns, 3.5233 ns/op
OverheadActual   3: 1048576 op, 3676300.00 ns, 3.5060 ns/op
OverheadActual   4: 1048576 op, 3731100.00 ns, 3.5583 ns/op
OverheadActual   5: 1048576 op, 3649500.00 ns, 3.4804 ns/op
OverheadActual   6: 1048576 op, 3700800.00 ns, 3.5294 ns/op
OverheadActual   7: 1048576 op, 3702300.00 ns, 3.5308 ns/op
OverheadActual   8: 1048576 op, 3759700.00 ns, 3.5855 ns/op
OverheadActual   9: 1048576 op, 4070000.00 ns, 3.8815 ns/op
OverheadActual  10: 1048576 op, 3767300.00 ns, 3.5928 ns/op
OverheadActual  11: 1048576 op, 3770900.00 ns, 3.5962 ns/op
